stop_id	name	latitude	longitude
node/7060277175	Carrefour Sacré Coeur	5.371585	-3.964813
node/7060486573	Palmeraie SIPIM 4	5.384859	-3.953344
node/7060486574	Carrefour Saint Viateur	5.383505	-3.955814
node/7060486576	Warren Palmeraie	5.360919	-3.961907
node/7066057000	A l'Arrêt	5.424295	-4.019265
node/7066086753	SGBCI Cocody	5.339736	-4.003634
node/7066086754	RTI	5.343163	-4.003211
node/7066086755	BMW	5.358315	-4.001091
node/7066312413	Lavage	5.439486	-4.068656
node/7066312415	2ème Porte	5.432311	-4.068636
node/7066312416	Première Porte	5.430589	-4.069067
node/7066312418	Carrefour Zone	5.369700	-4.080051
node/7071584251	Cabine Bleue	5.329074	-4.075913
node/7071584252	Dialogue	5.345446	-4.073394
node/7071584253	Kabadougou	5.353298	-4.074190
node/7071584255	Brigade d'Adjamé	5.357203	-4.026192
node/7071584257	Kabadougou	5.353319	-4.074046
node/7071584258	La Poste	5.352185	-4.073800
node/7071584259	Dialogue	5.345449	-4.073235
node/7071584260	William-Ponty	5.343866	-4.073255
node/7076835390	Niangon Sud à Gauche	5.316608	-4.088987
node/7076835391	Église des Assemblés de Dieu de Niangon-Sud	5.322880	-4.087738
node/7076835392	Marché	5.324940	-4.078780
node/7076835393	Ancien Lavage	5.341509	-4.073412
node/7076835397	Cosmos Yopougon	5.348419	-4.073265
node/7076873479	Boutique	5.361461	-4.100056
node/7076942287	A l'étage	5.363136	-4.098319
node/7076942288	Gesco BATIM	5.365028	-4.095844
node/7076942291	Uniwax	5.362395	-4.080360
node/7077860799	Macaci	5.378112	-4.025499
node/7078209301	Ancien Garage	5.379115	-4.024899
node/7078209302	Filtisac	5.392952	-4.021032
node/7078209304	Mobil	5.414510	-4.016227
node/7078451674	Sable	5.356478	-4.066511
node/7078451675	Première Station	5.358306	-4.066902
node/7078451680	Carrefour Texaco - Saguidiba	5.326976	-4.091627
node/7078451681	Carrefour Super marché	5.326951	-4.105320
node/7082416536	Clinique les Oliviers	5.333173	-4.062230
node/7082416538	Ivoire Boutique Superette	5.323597	-4.058203
node/7082416539	Yopougon Kowëit	5.322251	-4.054709
node/7083105177	Gare en haut	5.350543	-4.022934
node/7083115487	Nouveau Camp	5.367258	-3.945502
node/7083115488	Commissariat	5.359652	-3.961565
node/7083115489	9 Kilo	5.358469	-3.963601
node/7083153383	Nouvelle Gare Bingerville	5.353073	-3.876704
node/7083153384	Carrefour Sicogi 2	5.354544	-3.879781
node/7083191185	CIE	5.357393	-3.887269
node/7083191187	Ancien Barrage	5.360402	-3.902760
node/7083191190	Deux Poteaux	5.365295	-3.949408
node/7083218788	Adjamé Agban Village	5.358773	-4.030951
node/7083218789	Cité Fairmont	5.358971	-4.032426
node/7085040037	Pon de Vridi	5.270130	-4.006038
node/7085040038	Pon de Vridi	5.270289	-4.005760
node/7085040040	Movis	5.278864	-4.008529
node/7085040041	Pharmacie du Port	5.288994	-4.008385
node/7085040042	Cimivoire	5.297660	-4.014098
node/7085040043	Après le feu	5.299867	-4.016692
node/7085040044	CDCI	5.302669	-4.020598
node/7085040045	Dinor	5.303989	-4.021826
